# Time [sec]	adc_raw[0]	adc_raw[1]	adc_raw[2]	adc_raw[3]	adc_raw[4]	adc_raw[6]
90.406	2060	2119	1986	37471531	536871336	335814656
90.422	2062	2126	1988	37471531	536871336	335814656
90.438	2060	2122	1989	37471531	536871336	335814656
90.453	2058	2125	1987	37471531	536871336	335814656
90.469	2061	2116	1991	37471531	536871336	335814656
90.484	2060	2119	1993	37471531	536871336	335814656
90.5	2060	2118	1996	37471531	536871336	335814656
90.516	2060	2118	1996	37471531	536871336	335814656
90.531	2057	2120	1994	37471531	536871336	335814656
90.547	2058	2119	1997	37471531	536871336	335814656
90.563	2059	2120	1998	37471531	536871336	335814656
90.578	2057	2120	1999	37471531	536871336	335814656
90.594	2058	2120	2001	37471531	536871336	335814656
90.609	2059	2117	2005	37471531	536871336	335814656
90.625	2057	2121	2004	71025963	536870932	335814656
90.641	2053	2120	2005	71025963	536870932	335814656
90.656	2052	2122	2006	71025963	536870932	335814656
90.672	2055	2121	2010	71025963	536870932	335814656
90.688	2051	2117	2011	71025963	536870932	335814656
90.703	2051	2117	2013	71025963	536870932	335814656
90.719	2052	2117	2012	71025963	536870932	335814656
90.734	2054	2121	2013	71025963	536870932	335814656
90.75	2051	2120	2012	71025963	536870932	335814656
90.766	2052	2122	2017	71025963	536870932	335814656
90.781	2049	2120	2017	71025963	536870932	335814656
90.797	2049	2116	2022	71025963	536870932	335814656
90.813	2051	2116	2023	71025963	536870932	335814656
90.828	2048	2117	2021	71025963	536870932	335814656
90.844	2047	2117	2025	71025963	536870932	335814656
90.859	2047	2119	2026	71025963	536870932	335814656
90.875	2051	2121	2025	71025963	536870932	335814656
90.891	2046	2119	2028	71025963	536870932	335814656
90.906	2052	2118	2032	71025963	536870932	335814656
90.922	2045	2117	2034	71025963	536870932	335814656
90.938	2045	2122	2031	71025963	536870932	335814656
90.953	2042	2121	2035	20694315	536880094	335814656
90.969	2045	2120	2039	71025963	536871044	335814656
90.984	2044	2118	2037	71025963	536871044	335814656
91	2041	2120	2035	37471531	536871334	335814656
91.016	2044	2122	2041	37471531	536871336	335814656
91.031	2045	2123	2041	37471531	536871336	335814656
91.047	2043	2117	2046	37471531	536871336	335814656
91.063	2043	2120	2043	37471531	536871336	335814656
91.078	2044	2118	2043	37471531	536871336	335814656
91.094	2037	2118	2046	37471531	536871336	335814656
91.109	2038	2118	2045	37471531	536871336	335814656
91.125	2040	2117	2051	37471531	536871336	335814656
91.141	2037	2117	2052	37471531	536871336	335814656
91.156	2034	2117	2055	37471531	536871336	335814656
91.172	2039	2117	2057	37471531	536871336	335814656
91.188	2036	2115	2057	37471531	536871336	335814656
91.203	2036	2118	2060	37471531	536871336	335814656
91.219	2037	2116	2062	37471531	536871336	335814656
91.234	2036	2122	2060	37471531	536871336	335814656
91.25	2032	2122	2064	37471531	536871336	335814656
91.266	2033	2120	2065	37471531	536871336	335814656
91.281	2035	2118	2064	37471531	536871336	335814656
91.297	2035	2117	2069	37471531	536871336	335814656
91.313	2032	2116	2069	37471531	536871336	335814656
91.328	2041	2117	2071	37471531	536871336	335814656
91.344	2033	2116	2072	37471531	536871336	335814656
91.359	2043	2121	2073	37471531	536871336	335814656
91.375	2033	2116	2073	37471531	536871336	335814656
91.391	2028	2118	2076	37471531	536871336	335814656
